fullname,shortname,path,k,b,mask,dot,unit,type,records
%d#堆-%d#组-单体电池温度上限报警回差值,单体电池温度上限报警回差值,/BMS数据块/%d/BCMU遥测信息/%d/单体电池温度上限报警回差值,1,0,0x7fffffff,0,℃,数字,1
%d#堆-%d#组-单体电池温度轻微报警下限值,单体电池温度轻微报警下限值,/BMS数据块/%d/BCMU遥测信息/%d/单体电池温度轻微报警下限值,1,0,0x7fffffff,0,℃,数字,1
%d#堆-%d#组-单体电池温度轻微报警上限值,单体电池温度轻微报警上限值,/BMS数据块/%d/BCMU遥测信息/%d/单体电池温度轻微报警上限值,1,0,0x7fffffff,0,℃,数字,1
%d#堆-%d#组-单体电池温度报警下限回差值,单体电池温度报警下限回差值,/BMS数据块/%d/BCMU遥测信息/%d/单体电池温度报警下限回差值,1,0,0x7fffffff,0,℃,数字,1
%d#堆-%d#组-单体电池温差一般报警门控值,单体电池温差一般报警门控值,/BMS数据块/%d/BCMU遥测信息/%d/单体电池温差一般报警门控值,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-单体电池温差严重报警门控值,单体电池温差严重报警门控值,/BMS数据块/%d/BCMU遥测信息/%d/单体电池温差严重报警门控值,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-单体电池温差严重报警回差值,单体电池温差严重报警回差值,/BMS数据块/%d/BCMU遥测信息/%d/单体电池温差严重报警回差值,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-单体电池温差轻微报警门控值,单体电池温差轻微报警门控值,/BMS数据块/%d/BCMU遥测信息/%d/单体电池温差轻微报警门控值,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-充电电流过流一般报警值,充电电流过流一般报警值,/BMS数据块/%d/BCMU遥测信息/%d/充电电流过流一般报警值,1,0,0x7fffffff,0,A,数字,1
%d#堆-%d#组-充电电流过流严重报警值,充电电流过流严重报警值,/BMS数据块/%d/BCMU遥测信息/%d/充电电流过流严重报警值,1,0,0x7fffffff,0,A,数字,1
%d#堆-%d#组-充电电流过流轻微报警值,充电电流过流轻微报警值,/BMS数据块/%d/BCMU遥测信息/%d/充电电流过流轻微报警值,1,0,0x7fffffff,0,A,数字,1
%d#堆-%d#组-充电电流过流报警回差值,充电电流过流报警回差值,/BMS数据块/%d/BCMU遥测信息/%d/充电电流过流报警回差值,1,0,0x7fffffff,0,A,数字,1
%d#堆-%d#组-SOC一般报警下限值,SOC一般报警下限值,/BMS数据块/%d/BCMU遥测信息/%d/SOC一般报警下限值,1,0,0x7fffffff,0,%,数字,1
%d#堆-%d#组-SOC一般报警上限值,SOC一般报警上限值,/BMS数据块/%d/BCMU遥测信息/%d/SOC一般报警上限值,1,0,0x7fffffff,0,%,数字,1
%d#堆-%d#组-SOC严重报警下限值,SOC严重报警下限值,/BMS数据块/%d/BCMU遥测信息/%d/SOC严重报警下限值,1,0,0x7fffffff,0,%,数字,1
%d#堆-%d#组-SOC严重报警上限值,SOC严重报警上限值,/BMS数据块/%d/BCMU遥测信息/%d/SOC严重报警上限值,1,0,0x7fffffff,0,%,数字,1
%d#堆-%d#组-SOC下限报警回差值,SOC下限报警回差值,/BMS数据块/%d/BCMU遥测信息/%d/SOC下限报警回差值,1,0,0x7fffffff,0,%,数字,1
%d#堆-%d#组-SOC上限报警回差值,SOC上限报警回差值,/BMS数据块/%d/BCMU遥测信息/%d/SOC上限报警回差值,1,0,0x7fffffff,0,%,数字,1
%d#堆-%d#组-SOC轻微报警下限值,SOC轻微报警下限值,/BMS数据块/%d/BCMU遥测信息/%d/SOC轻微报警下限值,1,0,0x7fffffff,0,%,数字,1
%d#堆-%d#组-SOC轻微报警上限值,SOC轻微报警上限值,/BMS数据块/%d/BCMU遥测信息/%d/SOC轻微报警上限值,1,0,0x7fffffff,0,%,数字,1
